ID,Brand,Category,Sub_category,Sub_Sub_Category,Product_Name,SKU,Price,Offer_Price,Description,Product_Id,Image1,Image2,image3,image4,image5,,,
60,Lidl,Daily Deals,Household,Washing Detergent/Cleaning ,3-in-1 Liquid Colour Caps  20 Piece,227189,4.29,3.19,Please see photos for Allergy and Nutritional information.,1484144,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227189/397290_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/227189/397291_orig.jpg,,,,,,
61,Lidl,Fresh Fruit,Bananas,Bananas,Fairtrade Organic Bananas,70263,1.89,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70263/403698_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70263/403699_orig.jpg,,,,,,
62,Lidl,Fresh Fruit,Bananas,Bananas,Funsize Bananas 750g,70195,1.49,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70195/403680_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70195/403681_orig.jpg,,,,,,
63,Lidl,Fresh Fruit,Bananas,Bananas,Bananas 6 pieces,70194,1.79,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70194/403622_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70194/403623_orig.jpg,,,,,,
64,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Easy Peelers 1kg,70200,1.69,0.89,Please see photos for Allergy and Nutritional information.,1657553,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70200/402175_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70200/402176_orig.jpg,,,,,,
65,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Lemons 500g,70206,0.99,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70206/403683_orig.jpg,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70206/403684_orig.jpg,,,,,,
66,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Oranges 1.5kg,70204,1.57,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70204/403686_orig.jpg,,,,,,,
67,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Loose Grapefruit,70196,0.39,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70196/403603_orig.jpg,,,,,,,
68,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Loose Lemons Per Piece,70205,0.49,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70205/403589_orig.jpg,,,,,,,
69,Lidl,Fresh Fruit,Citrus Fruit,Citrus Fruit,Lemon & Lime Mixed Net  5pack,70207,1.69,,Please see photos for Allergy and Nutritional information.,,https://buymie2.blob.core.windows.net/buymie/BuymieProductImages/70207/411075_orig.jpg,,,,,,,
